matchId,slug,playerid,overs,balls,maidens,conceded,wickets,economy,runsPerBall,dots,fours,sixes,wides,noballs
1359496,varun-chakravarthy,1108375,4,24,0,38,1,9.5,1.58,10,2,3,1,0
1359496,lockie-ferguson,493773,1.4,10,0,19,1,11.4,1.9,4,1,2,0,0
1359496,andre-russell,276298,1,6,0,17,0,17,2.83,1,2,1,0,0
1359497,trent-boult,277912,4,24,0,46,1,11.5,1.91,6,4,2,2,0
1359497,sandeep-sharma,438362,4,24,0,25,2,6.25,1.04,10,3,0,1,0
1359497,adam-zampa,379504,4,24,0,32,1,8,1.33,9,2,2,0,0
1359497,ravichandran-ashwin,26421,4,24,0,37,0,9.25,1.54,5,4,1,0,0
1359497,yuzvendra-chahal,430246,4,24,0,36,1,9,1.5,3,0,2,1,0
1359497,mohammed-shami,481896,4,24,1,25,3,6.25,1.04,18,1,3,1,0
1359497,hardik-pandya,625371,4,24,0,24,1,6,1,14,3,1,0,0
1359497,alzarri-joseph,670031,3,18,0,47,0,15.66,2.61,2,3,4,0,0
1359497,rashid-khan,793463,4,24,0,46,2,11.5,1.91,7,1,5,0,0
1359497,mohit-sharma,537119,2,12,0,7,0,3.5,0.58,5,0,0,0,0
1359497,noor-ahmad,1182529,2.2,14,0,29,1,12.42,2.07,3,2,2,1,0
1359498,mohammed-siraj,940973,4,24,0,30,1,7.5,1.25,10,1,2,1,0
1359498,wayne-parnell,265564,4,24,0,48,1,12,2,7,3,4,0,0
1359498,vijaykumar-vyshak,777815,4,24,0,62,1,15.5,2.58,3,5,5,0,0
1359498,glenn-maxwell,325026,2.4,16,0,28,1,10.5,1.75,4,0,3,1,0
1359498,wanindu-hasaranga,784379,2,12,0,21,1,10.5,1.75,1,1,1,0,0
1359498,harshal-patel,390481,3.2,20,0,36,1,10.8,1.8,8,2,2,2,2
1359498,akash-singh,1175458,3,18,0,35,1,11.66,1.94,9,3,3,0,0
1359498,tushar-deshpande,822553,4,24,0,45,3,11.25,1.87,9,5,2,3,0
1359498,maheesh-theekshana,1138316,4,24,0,41,1,10.25,1.7,4,1,3,1,0
1359498,ravindra-jadeja,234675,4,24,0,37,0,9.25,1.54,3,0,3,0,0
1359498,matheesha-pathirana,1194795,4,24,0,42,2,10.5,1.75,9,3,3,2,0
1359498,moeen-ali,8917,1,6,0,13,1,13,2.16,3,0,2,0,0
1359499,bhuvneshwar-kumar,326016,4,24,0,31,1,7.75,1.29,8,1,2,0,0
1359499,marco-jansen,696401,4,24,0,43,2,10.75,1.79,11,3,4,1,0
1359499,washington-sundar,719715,4,24,0,33,0,8.25,1.37,10,4,1,0,0
1359499,t-natarajan,802575,4,24,0,50,1,12.5,2.08,3,7,1,0,0
1359499,mayank-markande,1081442,4,24,0,35,0,8.75,1.45,9,4,1,1,0
1359499,arjun-tendulkar,1148776,2.5,17,0,18,1,6.35,1.05,9,2,0,3,0
1359499,jason-behrendorff,272477,4,24,0,37,2,9.25,1.54,7,5,0,1,0
1359499,riley-meredith,961713,4,24,0,33,2,8.25,1.37,10,3,1,3,0
1359499,hrithik-shokeen,1175423,1,6,0,12,0,12,2,1,0,1,0,0
1359499,piyush-chawla,32966,4,24,0,43,2,10.75,1.79,5,4,2,0,0
1359499,cameron-green,1076713,4,24,0,29,1,7.25,1.2,9,4,0,1,0
1359500,trent-boult,277912,4,24,1,16,1,4,0.66,18,1,1,0,0
1359500,sandeep-sharma,438362,4,24,0,32,1,8,1.33,8,4,0,0,1
1359500,ravichandran-ashwin,26421,4,24,0,23,2,5.75,0.95,9,2,0,1,0
1359500,yuzvendra-chahal,430246,4,24,0,41,0,10.25,1.7,5,3,2,0,0
1359500,jason-holder,391485,4,24,0,38,1,9.5,1.58,7,3,2,0,0
1359500,naveen-ul-haq,793447,4,24,0,19,0,4.75,0.79,11,0,1,1,0
1359500,yudhvir-singh,1206052,2,12,0,27,0,13.5,2.25,6,2,2,1,0
1359500,avesh-khan,694211,4,24,0,25,3,6.25,1.04,12,4,0,0,0
1359500,marcus-stoinis,325012,4,24,0,28,2,7,1.16,11,3,1,0,0
1359500,ravi-bishnoi,1175441,4,24,0,25,0,6.25,1.04,8,2,0,0,1
1359500,amit-mishra,31107,2,12,0,15,0,7.5,1.25,3,2,0,0,0
1359501,arshdeep-singh,1125976,4,24,0,34,1,8.5,1.41,8,5,0,1,0
1359501,harpreet-brar,1168641,3,18,0,31,2,10.33,1.72,7,1,3,0,0
1359501,nathan-ellis,826915,4,24,0,41,1,10.25,1.7,8,2,3,1,0
1359501,sam-curran,662973,4,24,0,27,0,6.75,1.12,6,1,0,0,1
1359501,rahul-chahar,1064812,4,24,0,24,0,6,1,7,2,0,0,0
